"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.35070302068658,0.168245681332529,-2.08446967499531,0.0371174658432818,0.163034808641677
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417862,0.101059218008052,2.03947517584631,0.0414026263001157,0.176031664879167
"ENSG00000000457",322.664843927049,0.0245269479387466,0.145145067649248,0.168982303952742,0.865810560623564,0.961694238404392
"ENSG00000000460",87.682625164828,-0.14714204922212,0.257007253994673,-0.57252099672319,0.566969065257939,0.815848587637731
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807019,0.234311633845522,1.96013274402677,0.0499802769421352,0.200944465782513
"ENSG00000001036",2025.39179382894,-0.228243688351367,0.125005308318279,-1.82587196833458,0.0678695494953177,0.246790954887536
"ENSG00000001084",652.173308358757,-0.253030787429103,0.202576594239605,-1.24906230346543,0.211642286939169,0.495030491999029
"ENSG00000001167",411.684395281717,-0.533733396573758,0.228791461148912,-2.33283792102001,0.019656653572181,0.105268747648756
"ENSG00000001460",201.336569053853,-0.123556348103781,0.161114727309945,-0.766884257986477,0.443150334000449,0.730583672002939
"ENSG00000001461",2918.77668675377,0.00210152395872338,0.288704344043011,0.00727915600192803,0.994192125099883,0.99801416680836
"ENSG00000001497",539.501702816792,-0.05732114926113,0.109341581209839,-0.52423925671172,0.600112139778702,0.837621133648467
"ENSG00000001561",115.914401421895,0.286816638209834,0.715972980501578,0.400597014162327,0.688716844327051,0.887117297132827
"ENSG00000001617",604.297522477042,-0.192202806884425,0.198690550510317,-0.967347497859214,0.333370346699494,0.639074750802655
"ENSG00000001626",9.6724145714589,-0.286388065302528,0.586258600932596,-0.488501260104249,0.62519483338645,NA
"ENSG00000001629",1826.75812135437,-0.246091165637126,0.190393072929052,-1.29254264270859,0.196169288315456,0.474446482200189
"ENSG00000001630",979.608386428198,-0.179753249342177,0.121379855928637,-1.48091499999687,0.138629225359449,0.38640607306755
"ENSG00000001631",848.723819299268,-0.0712550209851317,0.153652803234143,-0.463740455659308,0.642833708757757,0.862101878963626
"ENSG00000002016",203.735815126675,-0.411582595769075,0.228455036442082,-1.80159125480002,0.0716097381879258,0.255785255862296
"ENSG00000002079",3.06484852801131,1.06112994552515,1.77213592723804,0.598785865810514,0.549315688867315,NA
"ENSG00000002330",688.667589034695,0.0103246419431319,0.0964225022817874,0.107077100249472,0.914727814058001,0.976989457490431
